networkStrength,networkType,timeStamp,audioInput.bandwidthMbit,audioInput.totalBytesSent,audioOutput.avgJitterBufferDelay,audioOutput.bandwidthMbit,audioOutput.jitter,audioOutput.packetsLost,audioOutput.packetsReceived,audioOutput.totalBytesReceived,audioOutput.totalSamplesReceived,network.currentRtt,network.localCandidateType,network.networkType,network.remoteCandidateType,network.transportType,rtcConfig.bundlePolicy,rtcConfig.iceCandidatePoolSize,rtcConfig.iceTransportPolicy,rtcConfig.rtcpMuxPolicy,rtcConfig.sdpSemantics,video.bandwidthMbit,video.decodeTime,video.firCount,video.framesDecoded,video.framesDropped,video.framesReceived,video.jitter,video.keyFramesDecoded,video.nackCount,video.packetsLost,video.packetsReceived,video.pliCount,video.totalBytesReceived,video.fps,video.avgJitterBufferDelay
4.0,"MOBILE",1.664424840548E12,null,4944.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.01479562,0.0,137.0,32.0,171.0,0.003,1.0,0.0,0.0,231.0,0.0,84235.0,59.0,0.07875
4.0,"MOBILE",1.664424840653E12,null,5147.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.014612676,0.0,142.0,32.0,176.0,0.002,1.0,0.0,0.0,236.0,0.0,84275.0,58.0,0.077910446
4.0,"MOBILE",1.664424840757E12,null,5349.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.014337838,0.0,148.0,32.0,183.0,0.002,1.0,0.0,0.0,243.0,0.0,84331.0,59.0,0.077042855
4.0,"MOBILE",1.664424840869E12,null,5592.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.014206451,0.0,155.0,32.0,189.0,0.002,1.0,0.0,0.0,249.0,0.0,84379.0,59.0,0.076095894
4.0,"MOBILE",1.664424840947E12,null,5754.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.01411875,0.0,160.0,32.0,195.0,0.002,1.0,0.0,0.0,255.0,0.0,84427.0,59.0,0.07536842
4.0,"MOBILE",1.664424841047E12,null,5957.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.013915663,0.0,166.0,32.0,201.0,0.002,1.0,0.0,0.0,261.0,0.0,84475.0,60.0,0.074708864
4.0,"MOBILE",1.664424841149E12,null,6159.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.013715116,0.0,172.0,32.0,206.0,0.002,1.0,0.0,0.0,266.0,0.0,84515.0,58.0,0.07402439
4.0,"MOBILE",1.664424841244E12,null,6361.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.01352809,0.0,178.0,32.0,213.0,0.002,1.0,0.0,0.0,273.0,0.0,84571.0,59.0,0.073388234
4.0,"MOBILE",1.66442484136E12,null,6605.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.013347826,0.0,184.0,32.0,219.0,0.002,1.0,0.0,0.0,279.0,0.0,84619.0,59.0,0.07279546
4.0,"MOBILE",1.66442484145E12,null,6767.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.013163158,0.0,190.0,32.0,224.0,0.001,1.0,0.0,0.0,284.0,0.0,84659.0,58.0,0.07217582
4.0,"MOBILE",1.664424841545E12,null,6969.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.013020408,0.0,196.0,32.0,230.0,0.001,1.0,0.0,0.0,290.0,0.0,84707.0,60.0,0.07156383
4.0,"MOBILE",1.664424841644E12,null,7171.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.01290099,0.0,202.0,32.0,236.0,0.001,1.0,0.0,0.0,296.0,0.0,84755.0,60.0,0.07098969
4.0,"MOBILE",1.664424841748E12,null,7374.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.012745192,0.0,208.0,32.0,243.0,0.001,1.0,0.0,0.0,303.0,0.0,84811.0,60.0,0.07045
4.0,"MOBILE",1.664424841852E12,null,7617.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.012602803,0.0,214.0,32.0,249.0,0.001,1.0,0.0,0.0,309.0,0.0,84859.0,60.0,0.069941744
4.0,"MOBILE",1.664424841947E12,null,7779.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.012454545,0.0,220.0,32.0,254.0,0.001,1.0,0.0,0.0,314.0,0.0,84899.0,59.0,0.06946226
4.0,"MOBILE",1.66442484204E12,null,7981.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.012327434,0.0,226.0,32.0,260.0,0.001,1.0,0.0,0.0,320.0,0.0,84947.0,60.0,0.06900918
4.0,"MOBILE",1.664424842149E12,null,8184.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.012193966,0.0,232.0,32.0,266.0,0.002,1.0,0.0,0.0,326.0,0.0,84995.0,60.0,0.068553574
4.0,"MOBILE",1.664424842249E12,null,8387.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.01207563,0.0,238.0,32.0,272.0,0.002,1.0,0.0,0.0,332.0,0.0,85043.0,59.0,0.06812174
4.0,"MOBILE",1.664424842345E12,null,8589.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.011954918,0.0,244.0,32.0,278.0,0.001,1.0,0.0,0.0,338.0,0.0,85091.0,60.0,0.06777872
4.0,"MOBILE",1.664424842536E12,null,8994.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.011707031,0.0,256.0,32.0,290.0,0.001,1.0,0.0,0.0,351.0,0.0,86621.0,60.0,0.06697976
4.0,"MOBILE",1.664424842547E12,null,8994.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.011707031,0.0,256.0,32.0,290.0,0.001,1.0,0.0,0.0,351.0,0.0,86621.0,60.0,0.06697976
4.0,"MOBILE",1.664424842642E12,null,9237.0,0.01,null,0.0,0.0,1.0,32.0,82240.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.011561069,0.0,262.0,32.0,296.0,0.002,1.0,0.0,0.0,369.0,0.0,101613.0,60.0,0.06653937
4.0,"MOBILE",1.664424842745E12,null,9399.0,0.01,null,0.0,0.0,6.0,251.0,87040.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.011466417,0.0,268.0,32.0,302.0,0.003,1.0,0.0,0.0,389.0,0.0,120536.0,60.0,0.06630116
4.0,"MOBILE",1.664424842844E12,null,9601.0,0.016,null,0.0,0.0,11.0,467.0,91840.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.01141392,0.0,273.0,32.0,306.0,0.006,1.0,0.0,0.0,442.0,0.0,174213.0,58.0,0.06606415
4.0,"MOBILE",1.664424842943E12,null,9804.0,0.022,null,0.001,0.0,16.0,678.0,96640.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.011318997,0.0,279.0,32.0,314.0,0.008,1.0,0.0,0.0,487.0,0.0,216553.0,60.0,0.065937035
4.0,"MOBILE",1.664424843048E12,null,10007.0,0.027777778,null,0.001,0.0,21.0,887.0,101440.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.011214035,0.0,285.0,32.0,319.0,0.009,1.0,0.0,0.0,521.0,0.0,247713.0,59.0,0.065743685
4.0,"MOBILE",1.664424843145E12,null,10209.0,0.036956523,null,0.001,0.0,26.0,1095.0,106240.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.011120275,0.0,291.0,32.0,325.0,0.009,1.0,0.0,0.0,561.0,0.0,284560.0,59.0,0.065551236
4.0,"MOBILE",1.664424843243E12,null,10411.0,0.041724138,null,0.001,0.0,31.0,1300.0,111040.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.011047138,0.0,297.0,32.0,331.0,0.009,1.0,0.0,0.0,597.0,0.0,317679.0,59.0,0.06536806
4.0,"MOBILE",1.664424843346E12,null,10614.0,0.04352941,null,0.001,0.0,36.0,1508.0,115840.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010966997,0.0,303.0,32.0,338.0,0.009,1.0,0.0,0.0,618.0,0.0,329272.0,60.0,0.0651017
4.0,"MOBILE",1.664424843444E12,null,10817.0,0.04375,null,0.001,0.0,41.0,1721.0,120640.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010925567,0.0,309.0,32.0,343.0,0.007,1.0,0.0,0.0,635.0,0.0,338825.0,59.0,0.06494
4.0,"MOBILE",1.664424843544E12,null,11019.0,0.04431818,null,0.001,0.0,46.0,1933.0,125440.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.0108253965,0.0,315.0,32.0,350.0,0.005,1.0,0.0,0.0,643.0,0.0,339978.0,60.0,0.06477124
4.0,"MOBILE",1.664424843643E12,null,11221.0,0.04489796,null,0.001,0.0,51.0,2140.0,130240.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010728972,0.0,321.0,32.0,356.0,0.004,1.0,0.0,0.0,649.0,0.0,340080.0,62.0,0.06462179
4.0,"MOBILE",1.664424843746E12,null,11416.0,0.04462963,null,0.001,0.0,56.0,2354.0,135040.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010663609,0.0,327.0,32.0,362.0,0.003,1.0,0.0,0.0,655.0,0.0,340182.0,61.0,0.064490564
4.0,"MOBILE",1.664424843845E12,null,11579.0,0.04423729,null,0.001,0.0,61.0,2561.0,139840.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.0106006,0.0,333.0,32.0,368.0,0.002,1.0,0.0,0.0,661.0,0.0,340284.0,62.0,0.06437037
4.0,"MOBILE",1.664424843943E12,null,11741.0,0.0440625,null,0.001,0.0,66.0,2768.0,144640.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010557522,0.0,339.0,32.0,374.0,0.002,1.0,0.0,0.0,667.0,0.0,340386.0,60.0,0.064263634
4.0,"MOBILE",1.664424844045E12,null,11903.0,0.04304348,null,0.001,0.0,71.0,2976.0,149440.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010544928,0.0,345.0,32.0,380.0,0.002,1.0,0.0,0.0,673.0,0.0,340488.0,61.0,0.064169645
4.0,"MOBILE",1.664424844145E12,null,12066.0,0.04216216,null,0.002,0.0,76.0,3187.0,154240.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010504274,0.0,351.0,32.0,386.0,0.002,1.0,0.0,0.0,679.0,0.0,340590.0,61.0,0.06407895
4.0,"MOBILE",1.664424844254E12,null,12229.0,0.041392405,null,0.003,0.0,81.0,3396.0,159040.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010448179,0.0,357.0,32.0,392.0,0.002,1.0,0.0,0.0,685.0,0.0,340692.0,61.0,0.06399138
4.0,"MOBILE",1.664424844409E12,null,12521.0,0.040344827,null,0.002,0.0,89.0,3736.0,166720.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010404372,0.0,366.0,32.0,401.0,0.002,1.0,0.0,0.0,694.0,0.0,340845.0,59.0,0.06387151
4.0,"MOBILE",1.664424844437E12,null,12521.0,0.040344827,null,0.002,0.0,89.0,3736.0,166720.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010404372,0.0,366.0,32.0,401.0,0.002,1.0,0.0,0.0,694.0,0.0,340845.0,59.0,0.06387151
4.0,"MOBILE",1.664424844556E12,null,12716.0,0.0393617,null,0.002,0.0,95.0,4010.0,173440.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010380054,0.0,371.0,32.0,408.0,0.002,1.0,0.0,0.0,701.0,0.0,340964.0,58.0,0.06379726
4.0,"MOBILE",1.664424844704E12,null,12879.0,0.0386,null,0.002,0.0,101.0,4257.0,179200.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010731579,0.0,380.0,32.0,413.0,0.004,1.0,0.0,0.0,727.0,0.0,365387.0,56.0,0.06373925
4.0,"MOBILE",1.664424844743E12,null,12943.0,0.037884615,null,0.003,0.0,105.0,4409.0,183040.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010731771,0.0,384.0,32.0,420.0,0.008,1.0,0.0,0.0,771.0,0.0,413092.0,57.0,0.063710876
4.0,"MOBILE",1.664424844849E12,null,12943.0,0.03733945,null,0.003,0.0,110.0,4598.0,187840.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010676021,0.0,392.0,32.0,425.0,0.009,1.0,0.0,0.0,810.0,0.0,455569.0,56.0,0.063647516
4.0,"MOBILE",1.664424844946E12,null,12943.0,0.03719298,null,0.002,0.0,115.0,4787.0,192640.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010664987,0.0,397.0,32.0,432.0,0.01,1.0,0.0,0.0,853.0,0.0,501676.0,57.0,0.06356298
4.0,"MOBILE",1.664424845042E12,null,12943.0,0.037118644,null,0.003,0.0,120.0,4975.0,197440.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010687345,0.0,403.0,32.0,437.0,0.011,1.0,0.0,0.0,892.0,0.0,544164.0,56.0,0.06347848
4.0,"MOBILE",1.664424845145E12,null,12943.0,0.037642278,null,0.002,0.0,125.0,5162.0,202240.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010655257,0.0,409.0,32.0,444.0,0.01,1.0,0.0,0.0,915.0,0.0,567394.0,57.0,0.063374065
4.0,"MOBILE",1.664424845242E12,null,12943.0,0.038125,null,0.002,0.0,130.0,5353.0,207040.0,0.041,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010640964,0.0,415.0,32.0,450.0,0.007,1.0,0.0,0.0,921.0,0.0,567442.0,57.0,0.06328256
4.0,"MOBILE",1.664424845343E12,null,12943.0,0.038421053,null,0.002,0.0,135.0,5541.0,211840.0,0.042,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010604265,0.0,422.0,32.0,456.0,0.005,1.0,0.0,0.0,927.0,0.0,567490.0,57.0,0.06321065
4.0,"MOBILE",1.664424845446E12,null,12943.0,0.038550723,null,0.002,0.0,140.0,5727.0,216640.0,0.042,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010580796,0.0,427.0,32.0,462.0,0.004,1.0,0.0,0.0,933.0,0.0,567538.0,58.0,0.06314797
4.0,"MOBILE",1.664424845543E12,null,12943.0,0.03881119,null,0.002,0.0,145.0,5918.0,221440.0,0.042,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010542725,0.0,433.0,32.0,466.0,0.003,1.0,0.0,0.0,953.0,0.0,585317.0,57.0,0.06310118
4.0,"MOBILE",1.66442484564E12,null,12943.0,0.039054055,null,0.002,0.0,150.0,6107.0,226240.0,0.042,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010492028,0.0,439.0,32.0,474.0,0.004,1.0,0.0,0.0,979.0,0.0,610880.0,60.0,0.06310698
4.0,"MOBILE",1.664424845747E12,null,12943.0,0.039281044,null,0.001,0.0,155.0,6295.0,231040.0,0.042,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010431461,0.0,445.0,32.0,480.0,0.004,1.0,0.0,0.0,986.0,0.0,614208.0,60.0,0.06311926
4.0,"MOBILE",1.664424845851E12,null,12943.0,0.039177217,null,0.001,0.0,160.0,6482.0,235840.0,0.042,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.010383592,0.0,451.0,32.0,487.0,0.003,1.0,0.0,0.0,993.0,0.0,614327.0,62.0,0.063128665
